en_word;tr_meaning;pos;example_en;example_tr;synonyms_raw;antonyms_raw;level;tags_raw;notes
abide;katlanmak;v.;I have to admit that I simply cannot abide people who are indecisive and cannot make up their minds about anything.;Kabul etmeliyim ki, kararsız olan ve hiçbir şey hakkında karar veremeyen insanlara kesinlikle katlanamıyorum.;"tolerate; endure";"reject; avoid";C1;"verb; action; advanced";İleri seviye kelime. Akademik metinlerde ve resmi yazışmalarda kullanılır.
abide by;-e uymak, bağlı kalmak;phr. v.;We must abide by the law.;Yasaya uymak zorundayız.;"obey; follow";violate;B2;"verb; action";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
ability;yetenek, kabiliyet;n.;Her natural ability to learn new languages quickly made her the perfect candidate for the international position.;Yeni dilleri hızlıca öğrenme konusundaki doğal yeteneği, onu uluslararası pozisyon için mükemmel bir aday yaptı.;"capability; talent; competence";"inability; incapacity";B1;"noun; vocabulary";Orta seviye kelime. Genel iletişimde kullanılır.
able;yapabilir;adj.;Although the task was very challenging, she was able to complete it before the deadline.;Görev çok zorlu olmasına rağmen, onu son teslim tarihinden önce tamamlayabildi.;"capable; competent";"unable; incapable";A2;"adjective; description; basic";Temel-orta seviye kelime. Günlük konuşmalarda yaygındır.
aboard;içinde (gemi/uçak);prep.;Once everyone was safely aboard the ship, it slowly began to leave the harbor.;Herkes gemiye güvenli bir şekilde bindikten sonra, gemi yavaşça limandan ayrılmaya başladı.;"on board; onto";off;B2;"preposition; grammar";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
abolish;yürürlükten kaldırmak, feshetmek;v.;Many countries have abolished the death penalty, believing it to be a cruel and unusual punishment.;Birçok ülke, idam cezasının zalimane ve olağandışı bir ceza olduğuna inanarak onu kaldırmıştır.;"eliminate; end; cancel";"establish; create; retain";B2;"verb; action";Bir sistemi, uygulamayı veya yasayı resmen sona erdirmek.
abolished;yürürlülükten kalkmış;adj.;The old law has been abolished.;Eski yasa kaldırıldı.;"ended; terminated; nullified";"established; in force";B2;"adjective; description";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
abolition;Kaldırmak;n.;The abolition of the slave trade was a historic milestone for humanity.;Köle ticaretinin kaldırılması insanlık için tarihi bir dönüm noktasıydı.;"eradication; nullification; revocation";"establishment; retention";C1;"yds; yokdil; history";Bir uygulamanın veya kurumun resmen sona erdirilmesi.
abolitionist;iptal etme taraftarı;n.;The abolitionists fought to end slavery.;Kölelik karşıtları köleliği bitirmek için savaştı.;"opponent; campaigner; activist";"supporter; advocate";C1;"noun; vocabulary; advanced";İleri seviye kelime. Akademik metinlerde ve resmi yazışmalarda kullanılır.
abomination;iğrençlik, tiksinti verici şey;n.;The dictator's brutal regime and its crimes against humanity were an abomination that shocked the entire world.;Diktatörün vahşi rejimi ve insanlığa karşı işlediği suçlar, tüm dünyayı şok eden bir iğrençlikti.;atrocity, outrage, horror;delight, blessing;C1;"noun; vocabulary; advanced";İleri seviye kelime. Akademik metinlerde ve resmi yazışmalarda kullanılır.
aborigine;yerli, aborijin;n.;The aborigines of Australia have a rich cultural heritage that includes unique art, music, and spiritual beliefs.;Avustralya Aborijinleri, kendine özgü sanat, müzik ve manevi inançları içeren zengin bir kültürel mirasa sahiptir.;native, indigenous person;settler, immigrant;B2;"noun; vocabulary";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
abort;"iptal etmek, yarıda kesmek, sonlandırmak; kürtaj yapmak, kürtaj yaptırmak, çocuk düşürmek";v.;Due to technical problems with the rocket, the mission control center had no choice but to abort the launch just seconds before liftoff.;Roketteki teknik sorunlar nedeniyle, görev kontrol merkezinin kalkıştan saniyeler önce fırlatmayı iptal etmekten başka seçeneği yoktu.;"cancel; terminate; stop";"complete; continue; proceed";C1;"verb; action; advanced";İleri seviye kelime. Akademik metinlerde ve resmi yazışmalarda kullanılır.
abortion;"kürtaj, bebek aldırma; çocuk düşürme";n.;The debate over abortion rights is one of the most controversial and emotionally charged issues in many countries around the world.;Kürtaj hakları tartışması, dünyadaki birçok ülkede en tartışmalı ve duygusal açıdan yüklü konulardan biridir.;"termination; miscarriage";birth;B2;"noun; vocabulary";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
about;hakkında;prep.;The professor gave a fascinating lecture about the economic consequences of climate change in developing nations.;Profesör, gelişmekte olan ülkelerde iklim değişikliğinin ekonomik sonuçları hakkında büyüleyici bir ders verdi.;"regarding; concerning; on";;B1;"preposition; grammar";Orta seviye kelime. Genel iletişimde kullanılır.
above;üstünde;prep.;The temperature today is just a few degrees above freezing, so please wear a warm coat.;Bugün sıcaklık donma noktasının sadece birkaç derece üstünde, bu yüzden lütfen sıcak bir mont giyin.;"over; higher than";below;B1;"preposition; grammar";Orta seviye kelime. Genel iletişimde kullanılır.
above level;üzerinde, yukarısında;phr. v.;The water is above the normal level.;Su normal seviyenin üzerinde.;"over; higher than";below level;B1;"phrase; expression";Orta seviye kelime. Genel iletişimde kullanılır.
abroad;yurt dışı;adv.;He lives abroad.;Yurt dışında yaşıyor.;overseas;locally;A2;"verb; action; basic";Temel-orta seviye kelime. Günlük konuşmalarda yaygındır.
abrupt;ani, aniden, birdenbire oluveren;adj.;The bus came to an abrupt halt, causing several standing passengers to lose their balance and fall.;Otobüs aniden durdu, ayakta duran birkaç yolcunun dengesini kaybetmesine ve düşmesine neden oldu.;"sudden; unexpected; hasty";"gradual; expected; slow";B2;"yds; yökdil; ydt";Beklenmedik ve hızlı bir şekilde gerçekleşen.
abruptly;birdenbire, ansızın, aniden;adv.;The conversation ended abruptly when he stood up and walked out of the room without a word.;Sözü olmadan ayağa kalkıp odadan çıkınca konuşma aniden sona erdi.;"suddenly; sharply; unexpectedly";"gradually; slowly; expectedly";B2;"verb; action";Beklenmedik ve ani bir şekilde.
absent;mevcut olmayan;adj.;He was absent from school.;Okulda yoktu.;"missing; away";present;B1;"adjective; description";Orta seviye kelime. Genel iletişimde kullanılır.
absolute;"tam; kesin";adj.;There is an absolute necessity for the company to innovate if it wants to survive in this market.;Şirketin bu pazarda ayakta kalmak istiyorsa yenilik yapması mutlak bir zorunluluktur.;"complete; total; utter";"partial; limited";B2;"adjective; description";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
absorb;emmek, soğurmak;v.;The material used in these high-quality towels is designed to absorb water much more quickly than standard cotton fabrics.;Bu yüksek kaliteli havlularda kullanılan malzeme, suyu standart pamuklu kumaşlardan çok daha hızlı emecek şekilde tasarlanmıştır.;"soak up; take in";"expel; release";B2;"verb; action";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
absorbent;emici, özümseyen;adj.;He has a very absorbent mind and can quickly grasp new and complex concepts with ease, much to the envy of his classmates.;Sınıf arkadaşlarının kıskandığı kadar, çok emici bir zihne sahiptir ve yeni, karmaşık kavramları kolaylıkla hızla kavrayabilir.;receptive, sponge-like, permeable;impermeable, non-absorbent;B2;"adjective; description";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
absorption;emme, içine çekme;n.;The absorption of water by the sponge was quick.;Suyun sünger tarafından emilmesi hızlıydı.;"soaking up; taking in; assimilation";"release; emission";B2;"noun; vocabulary";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
abstain;kaçınmak, uzak durmak;v.;Patients with a history of heart problems are strongly advised to abstain from smoking and maintain a healthy diet.;Kalp sorunu geçmişi olan hastalara, sigaradan uzak durmaları ve sağlıklı bir diyet uygulamaları şiddetle tavsiye edilir.;refrain, desist, forgo;indulge, partake;C1;"verb; action; advanced";İleri seviye kelime. Akademik metinlerde ve resmi yazışmalarda kullanılır.
abstain from;#AD?;phr. v.;You must abstain from alcohol.;Alkolden kaçınmalısınız.;"refrain from; avoid";indulge in;B2;"verb; action";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
abstract;"soyut; özet; soyut sanat eseri";"adj.;n.";The concept of justice is an abstract idea that can be difficult to define precisely.;Adalet kavramı, tam olarak tanımlanması zor olan soyut bir fikirdir.;"theoretical; conceptual; summary; nonrepresentational";"concrete; specific; actual";B2;"noun; vocabulary";Somut olarak var olmayan, düşünceye dayalı.
absurd;saçma, mantıksız;adj.;The idea that the earth is flat is completely absurd, given all the scientific evidence that proves it is a sphere.;Dünyanın düz olduğu fikri, onun bir küre olduğunu kanıtlayan tüm bilimsel kanıtlar göz önüne alındığında tamamen saçmadır.;ridiculous, foolish, ludicrous;sensible, logical;B2;"adjective; description";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
abundance;bolluk;n.;The region has an abundance of natural resources.;Bölgenin bol miktarda doğal kaynağı var.;"plenty; wealth; profusion";"scarcity; lack";B2;"noun; vocabulary";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
abundant;bol, bereketli;adj.;The tropical rainforest is extremely famous for its incredibly abundant and diverse plant life.;Tropikal yağmur ormanı, inanılmaz derecede bol ve çeşitli bitki yaşamıyla son derece ünlüdür.;plentiful, rich;scarce, rare;C1;"adjective; description; advanced";İleri seviye kelime. Akademik metinlerde ve resmi yazışmalarda kullanılır.
abundantly;bolca;adv.;The plant grows abundantly in this climate.;Bitki bu iklimde bolca yetişir.;"plentifully; copiously; richly";"scarcely; rarely";B2;"verb; action";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
abuse;istismar etmek, kötüye kullanmak;v.;It is completely unacceptable for anyone to abuse their authority in order to harm innocent people.;Masum insanlara zarar vermek için yetkisini kötüye kullanması tamamen kabul edilemez.;"misuse; mistreat; exploit";"respect; protect";B2;"verb; action";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
abusive;"kötü muamele eden; taciz edici";adj.;The referee sent him off for using abusive language.;Hakem, küfürlü konuştuğu için onu oyundan attı.;"insulting; offensive; harmful";"respectful; kind";B2;"adjective; description";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
academic;Akademik;adj.;She has a very successful academic career in the field of molecular biology.;Moleküler biyoloji alanında çok başarılı bir akademik kariyeri var.;"scholarly; educational; intellectual";"non-academic; practical";B1;"yds; yokdil; education";Eğitim ve araştırma ile ilgili her şey için kullanılır.
accelerate;hızlandırmak;v.;The government hopes that the new tax cuts will accelerate economic growth and create more jobs for the population.;Hükümet, yeni vergi indirimlerinin ekonomik büyümeyi hızlandıracağını ve halk için daha fazla iş yaratacağını umuyor.;speed up, quicken, hasten;decelerate, slow down;B2;"verb; action";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
accelerator;Gaz Pedalı;n.;He pressed the accelerator hard, and the sports car shot forward.;Gaza sertçe bastı ve spor araba ileri fırladı.;"throttle; gas pedal";brake;B1;"yds; yokdil; automotive";Araçlarda hızı artırmak için kullanılan pedal.
accent;"Şive; Aksan";n.;Although she lived in London for years, she still has a strong French accent.;Yıllarca Londra'da yaşamasına rağmen hâlâ güçlü bir Fransız aksanı var.;"pronunciation; intonation; dialect";-;A2;"yds; yokdil; language";Bir dilin konuşulma biçimindeki bölgesel veya sosyal farklılık.
accept;kabul etmek;v.;After long negotiations, the committee finally decided to accept the terms proposed by the union representatives.;Uzun müzakerelerden sonra komite nihayet sendika temsilcileri tarafından önerilen şartları kabul etmeye karar verdi.;"receive; agree; take";"refuse; reject; decline";A2;"verb; action; basic";Temel-orta seviye kelime. Günlük konuşmalarda yaygındır.
acceptability;kabul edilebilirlik;n.;The acceptability of the proposal is in doubt.;Teklifin kabul edilebilirliği şüpheli.;"suitability; appropriateness; admissibility";unacceptability;C1;"noun; vocabulary; advanced";İleri seviye kelime. Akademik metinlerde ve resmi yazışmalarda kullanılır.
acceptable;kabul edilebilir;adj.;After hours of negotiation, both parties finally agreed on a solution that was acceptable to everyone.;Saatler süren müzakereden sonra, her iki taraf da sonunda herkes için kabul edilebilir bir çözüm üzerinde anlaştı.;"satisfactory; admissible";"unacceptable; unsatisfactory";B1;"adjective; description";Orta seviye kelime. Genel iletişimde kullanılır.
acceptably;kabul edilebilir şekilde;adv.;The food was acceptably good.;Yemek kabul edilebilir derecede iyiydi.;"satisfactorily; adequately; suitably";unacceptably;C1;"verb; action; advanced";İleri seviye kelime. Akademik metinlerde ve resmi yazışmalarda kullanılır.
acceptance;kabul, alma;n.;Her acceptance of the award was gracious.;Ödülü kabulü zarifti.;"approval; reception; agreement";"refusal; rejection";B1;"noun; vocabulary";Orta seviye kelime. Genel iletişimde kullanılır.
accepted;kabul edilmiş, kabul görmüş;adj.;It is a widely accepted fact.;Bu geniş çapta kabul görmüş bir gerçektir.;"recognized; acknowledged; approved";"unaccepted; rejected";B2;"adjective; description";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
access;erişim, ulaşım;n.;Students need a special password to gain access to the university's online research database.;Öğrencilerin, üniversitenin çevrimiçi araştırma veritabanına erişim kazanmak için özel bir şifreye ihtiyaçları vardır.;"entry; admission";"exclusion; exit";B1;"noun; vocabulary";Orta seviye kelime. Genel iletişimde kullanılır.
access to;erişim;NP;Students have access to the library.;Öğrencilerin kütüphaneye erişimi var.;"entry to; admission to";no access to;B1;"noun phrase; collocation";Orta seviye kelime. Genel iletişimde kullanılır.
accessible;"Erişilebilir; Kolay Bulunur";adj.;The information should be easily accessible to all members of the public.;Bilgi, halkın tüm üyeleri tarafından kolayca erişilebilir olmalıdır.;"approachable; available; reachable";"inaccessible; remote; unavailable";B2;"yds; yokdil; technology";Ulaşılabilir veya anlaşılması kolay.
accident;kaza;n.;There was a car accident.;Bir araba kazası oldu.;"crash; mishap";"purpose; intent";A2;"noun; vocabulary; basic";Temel-orta seviye kelime. Günlük konuşmalarda yaygındır.
accidentally;kazara, tesadüfen;adv.;The clumsy young waiter unfortunately completely accidentally dropped the incredibly expensive antique crystal glass violently onto the hard floor.;Sakar genç garson ne yazık ki tamamen kazara inanılmaz derecede pahalı antika kristal bardağı sert zemine şiddetle düşürdü.;unintentionally, by chance;intentionally, deliberately;B2;"verb; action";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
acclaim;"alkışlamak, övmek, beğenmek; övgü, alkış, takdir, beğeni";"n.;v.";The movie was acclaimed by critics for its original storyline.;Film, özgün hikayesiyle eleştirmenler tarafından beğenildi.;"praise; applaud; commend; recognition";"criticize; condemnation";C1;"noun; vocabulary; advanced";Herkes tarafından çok beğenilmek ve övülmek.
acclaim for;beğeni, övgü;NP;She received great acclaim for her role.;Rolü için büyük beğeni topladı.;"praise for; recognition for";criticism for;B2;"noun phrase; collocation";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
acclimatize;iklime alıştırmak, uyum sağlamak;v.;It takes a few days for your body to acclimatize to the high altitude, so it's important to rest and drink plenty of water when you first arrive.;Vücudunuzun yüksek rakıma alışması birkaç gün alır, bu nedenle ilk geldiğinizde dinlenmeniz ve bol su içmeniz önemlidir.;"adapt; adjust; accustom";-;C1;"verb; action; advanced";İleri seviye kelime. Akademik metinlerde ve resmi yazışmalarda kullanılır.
accommodate;ağırlamak;v.;The beach can accommodate thousands of visitors.;Plaj binlerce ziyaretçiye ev sahipliği yapabilir.;house,host;;B1;"verb; action";Orta seviye kelime. Genel iletişimde kullanılır.
accompany;eşlik etmek;v.;The renowned pianist agreed to accompany the young violinist during her first major concert at the city's opera house.;Ünlü piyanist, genç kemancıya şehrin opera binasındaki ilk büyük konseri sırasında eşlik etmeyi kabul etti.;"go with; escort";leave;B1;"verb; action";Orta seviye kelime. Genel iletişimde kullanılır.
accompany by;eşlik etmek;phr. v.;He was accompanied by his wife.;Karısı eşlik ediyordu.;"go with; join";leave;B1;"verb; action";Orta seviye kelime. Genel iletişimde kullanılır.
accomplish;başarmak, tamamlamak;v.;With effective teamwork and strong determination, we can accomplish almost any goal we set for ourselves.;Etkili takım çalışması ve güçlü kararlılıkla, kendimiz için belirlediğimiz hemen her hedefi başarabiliriz.;"achieve; complete";"fail; give up";B2;"verb; action";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
according to;#AD?;prep.;According to the latest weather forecast, we should expect heavy rainfall and strong winds throughout the entire weekend.;Son hava durumu tahminine göre, hafta sonu boyunca yoğun yağış ve kuvvetli rüzgar beklemeliyiz.;in accordance with;;B1;"preposition; grammar";Orta seviye kelime. Genel iletişimde kullanılır.
accordingly;dolayısıyla, bu yüzden, bu doğrultuda, buna göre;adv.;The rules have been clearly explained, and we expect all members to act accordingly at all times.;Kurallar açıkça açıklanmıştır ve tüm üyelerin her zaman buna göre hareket etmesini bekliyoruz.;"consequently; therefore; correspondingly";conversely;B2;"verb; action";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
account;hesap, anlatım;n.;The witness gave a detailed account of the events leading up to the accident.;Tanık, kazaya yol açan olaylar hakkında ayrıntılı bir anlatımda bulundu.;"report; description; narrative";"silence; query";B1;"noun; vocabulary";Orta seviye kelime. Genel iletişimde kullanılır.
account for;oluşturmak, açıklamak;phr. v.;The new research aims to account for the mysterious disappearance of the ancient civilization that once thrived in this valley.;Yeni araştırma, bir zamanlar bu vadide gelişen antik uygarlığın gizemli bir şekilde ortadan kaybolmasını açıklamayı amaçlıyor.;"explain; constitute; justify";"ignore; overlook";C1;"verb; action; advanced";İleri seviye kelime. Akademik metinlerde ve resmi yazışmalarda kullanılır.
accountancy;muhasebe;n.;She decided to pursue a career in accountancy because she has always been good with numbers.;Rakamlarla arası her zaman iyi olduğu için muhasebe alanında bir kariyer yapmaya karar verdi.;accounting;-;B2;"noun; vocabulary";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
accountant;muhasebeci;n.;Our accountant recommended that we should invest in some new software to manage our finances better.;Muhasebecimiz, finansmanımızı daha iyi yönetmek için yeni bir yazılıma yatırım yapmamızı tavsiye etti.;"auditor; bookkeeper";-;B1;"noun; vocabulary";Orta seviye kelime. Genel iletişimde kullanılır.
accounting;Muhasebe;n.;She decided to pursue a career in accounting after graduating from university.;Üniversiteden mezun olduktan sonra muhasebe alanında kariyer yapmaya karar verdi.;"bookkeeping; auditing; finance";-;B1;"yds; yokdil; business";Finansal işlemlerin kaydedilmesi, sınıflandırılması ve özetlenmesi süreci.
accumulate;biriktirmek, yığmak;v.;Misers accumulate money in banks if their income is large, or in the house stuffed in mattresses if they are low-income people, driven by an obsession with saving.;Cimriler, tasarruf takıntısıyla hareket ederek, gelirleri büyükse bankalarda, düşük gelirli kişilerse evde yatak şiltelerine tıkıştırarak para biriktirirler.;gather, collect, amass;disperse, dissipate, spend;B2;"verb; action";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
accumulated;birikmiş;adj.;Accumulated snow blocked the roads.;Biriken kar yolları kapattı.;"gathered; collected; amassed";"scattered; dispersed";B2;"adjective; description";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
accumulation;birikme, yığın;n.;The accumulation of wealth was his goal.;Zenginlik birikimi onun hedefiydi.;"buildup; collection; stockpile";"loss; scattering";B2;"noun; vocabulary";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
accumulator;akü;n.;The car's accumulator is flat.;Arabanın aküsü bitmiş.;"battery; storage cell";-;B2;"noun; vocabulary";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
accurate;doğru ;adj.;The travel brochure tries very hard to give an accurate and honest description of each of the featured resorts.;Seyahat broşürü, tanıtılan tatil köylerinin her biri hakkında doğru ve dürüst bir bilgi vermek için çok çalışıyor.;"precise; correct";"inaccurate; wrong";B1;"adjective; description";Orta seviye kelime. Genel iletişimde kullanılır.
accuse;suçlamak;v.;The evidence was so strong that they had no choice but to accuse him of embezzling company funds.;Kanıtlar o kadar güçlüydü ki, onu şirket fonlarını zimmetine geçirmekle suçlamaktan başka çareleri yoktu.;"blame; charge; indict";"defend; absolve";B2;"verb; action";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
accuse of;ile suçlamak;phr. v.;He was accused of theft.;Hırsızlıkla suçlandı.;"charge with; blame for";"defend; exonerate";B2;"verb; action";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
address;"adres; resmi konuşma; sorunla ilgilenmek, üzerine gitmek; konuşma yapmak";"n.;v.";The president's address to the nation focused on the economic crisis and outlined the steps the government would take to address the growing unemployment problem.;Başkanın ulusa sesleniş konuşması ekonomik krize odaklandı ve hükümetin artan işsizlik sorununu ele almak için atacağı adımları özetledi.;"speech; lecture; tackle; handle";"ignore; avoid";B2;"noun; vocabulary";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
accustom;Alıştırmak;v.;It took a while to accustom myself to the different time zone after the flight.;Uçuştan sonra kendimi farklı saat dilimine alıştırmam biraz zaman aldı.;"habituate; familiarize; adapt";-;C1;"yds; yokdil; general";Genellikle 'accustom oneself to' veya 'be accustomed to' olarak kullanılır.
accustomed;alışmış, alışkın, alışılmış;adj.;After living in the city for ten years, she became accustomed to the constant noise of traffic.;On yıl boyunca şehirde yaşadıktan sonra, sürekli trafik gürültüsüne alıştı.;"used to; habituated; familiar; customary";"unaccustomed; unfamiliar; unusual";B2;"adjective; description";Genellikle 'to' edatıyla birlikte kullanılır (accustomed to).
accustomed to;alışkın olmak;"adj.;phr. v.";I'm accustomed to getting up early.;Erken kalkmaya alışkınım.;"used to; habituated to";unaccustomed to;B2;"adjective; description";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
achievable;başarılabilir;adj.;The team set realistic and achievable targets for the first quarter of the fiscal year.;Ekip, mali yılın ilk çeyreği için gerçekçi ve başarılabilir hedefler belirledi.;"attainable; possible; feasible";"impossible; unattainable";B2;"adjective; description";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
achieve;başarmak, ulaşmak;v.;With consistent effort and unwavering determination, she managed to achieve all the ambitious goals she had set for herself.;Tutarlı çaba ve sarsılmaz kararlılıkla, kendisi için belirlediği tüm iddialı hedeflere ulaşmayı başardı.;"accomplish; attain";fail;B1;"verb; action";Orta seviye kelime. Genel iletişimde kullanılır.
achievement;başarı;n.;Winning the national science fair was a remarkable achievement for the young student.;Ulusal bilim fuarını kazanmak, genç öğrenci için dikkate değer bir başarıydı.;"accomplishment; attainment; success";"failure; defeat";B1;"noun; vocabulary";Orta seviye kelime. Genel iletişimde kullanılır.
achiever;başaran;n.;As a high achiever, she was always looking for new challenges to conquer.;Yüksek başarı gösteren biri olarak, her zaman üstesinden gelebileceği yeni zorluklar arıyordu.;"success; winner";"failure; underachiever";C1;"noun; vocabulary; advanced";İleri seviye kelime. Akademik metinlerde ve resmi yazışmalarda kullanılır.
acid;Asit;n.;"Be careful with that chemical; it contains a powerful acid that can burn your skin.";"O kimyasala dikkat et; cildini yakabilecek güçlü bir asit içeriyor.";-;"base; alkali";B1;"yds; yokdil; science";Kimyada pH değeri 7'nin altında olan madde.
acknowledge;kabul etmek, tanımak;v.;The company finally acknowledged its mistake and offered a full refund to all affected customers.;Şirket nihayet hatasını kabul etti ve etkilenen tüm müşterilere tam para iadesi teklif etti.;admit, accept, recognize;deny, reject;B2;"verb; action";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
acquire;edinmek, satın almak;v.;Over the years, he managed to acquire a significant collection of rare books and manuscripts from various auctions.;Yıllar içinde, çeşitli müzayedelerden önemli bir nadir kitap ve el yazması koleksiyonu edinmeyi başardı.;obtain, gain, purchase;lose, forfeit, relinquish;B2;"verb; action";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
acquirer;alıcı firma;n.;The acquirer bought the smaller company.;Satın alan firma, daha küçük şirketi satın aldı.;"buyer; purchaser; takeover company";"seller; target";C1;"noun; vocabulary; advanced";İleri seviye kelime. Akademik metinlerde ve resmi yazışmalarda kullanılır.
acquisition;"Edinme; İstimlak; El Koyma";n.;The company's latest acquisition is a small but innovative tech startup.;Şirketin son satın alımı, küçük ama yenilikçi bir teknoloji girişimiydi.;"purchase; gain; procurement";"loss; disposal";C1;"yds; yokdil; business";"Bir şeyi satın alma veya edinme eylemi; özellikle şirketler için."
