pack_name;title;level;tags_raw;Category
YDS Set 001;039-Ölüdeniz: Turkey's Blue Lagoon (Ölüdeniz: Türkiye'nin Mavi Lagünü);A2;"travel; geography; turkey";Travel & Geography
YDS Set 001;040-Parachuting (Paraşütle Atlama);A2;"sports; parachuting; skydiving";Sports
YDS Set 001;041-Picking Apples - A New England Tradition (Elma Toplamak - Bir New England Geleneği);A2;"lifestyle; nature; traditions";Culture & Society
YDS Set 001;042-Plaza Shopping Centre (Plaza Alışveriş Merkezi);A2;"shopping; facilities; lifestyle";Everyday Life & Consumption
YDS Set 001;043-San Francisco (San Francisco);A2;"cities; culture; tourism";Culture & Society
YDS Set 001;044-Selton's Second Shopping Centre (Selton'un İkinci AVM'si);A2;"news; shopping; facilities";Everyday Life & Consumption
YDS Set 001;045-Small Cars (Küçük Arabalar);A2;"technology; cars; future";Science & Technology
YDS Set 001;046-Space Hotels (Uzay Otelleri);A2;"technology; tourism; space";Science & Technology
YDS Set 001;047-Super Tanker Disaster (Süper Tanker Felaketi);A2;"news; accidents; environment";Environment & Nature
YDS Set 001;048-Technology Pros and Cons (Teknolojinin Artıları ve Eksileri);A2;"technology; society";Science & Technology
YDS Set 001;049-The Hebrides Islands (Hebrides Adalari);A2;"tourism; scotland; geography";Travel & Geography
YDS Set 001;050-The International Hotel (Uluslararası Otel);A2;"accommodation; services; facilities";Everyday Life & Consumption
YDS Set 001;051-The Invention of the Telephone (Telefonun İcadı);A2;"history; technology; communication";Science & Technology
YDS Set 001;052-The Olympic Games (Olimpiyat Oyunları);A2;"sports; history; politics";Sports
YDS Set 001;053-The Olympic Games (Olimpiyat Oyunları);A2;"sports; history; culture";Sports
YDS Set 001;054-The Virtual Beach but Real Fun (Sanal Plaj ama Gercek Eglence);A2;"leisure; tourism; japan";Travel & Geography
YDS Set 001;055-Tom's Diary (Tom'un Günlüğü);A2;"diary; school; lifestyle";Personal Stories & Human Interest
YDS Set 001;056-Transportation in Turkey (Türkiye'de Ulaşım);A2;"transport; economy; comparison";Travel & Geography
YDS Set 001;057-Various Advertisements (Çeşitli İlanlar);A2;"education; events; services";Education
YDS Set 001;058-Visiting Japan (Japonya'yı Ziyaret Etmek);A2;"travel; culture; lifestyle";Culture & Society
YDS Set 001;059-William Shakespeare (William Shakespeare);A2;"biography; literature; history";History
YDS Set 001;060-Winter: The Coldest Season (Kış: En Soğuk Mevsim);A2;"weather; seasons; nature";Environment & Nature
YDS Set 001;061-World in Danger (Dünyamız Tehlikede);A2;"environment; conservation";Environment & Nature
YDS Set 001;062-Young Communicators on the EU Path Competition (AB Yolunda Genç İletişimciler Yarışması);A2;"eu; youth; competition";Youth & Children
YDS Set 002;063-A Case for Safety (Güvenlik İçin Bir Dava);B1;"safety; traffic; society";Transportation & Vehicles
YDS Set 002;064-A Good Life (İyi Bir Yaşam);B1;"culture; lifestyle; longevity";Culture & Society
YDS Set 002;065-A Healthy Diet for Everyone (Herkes İçin Sağlıklı Bir Diyet);B1;"health; food; lifestyle";Psychology & Health
YDS Set 002;066-A Land of Immigrants (Bir Göçmenler Ülkesi);B1;"history; immigration; USA";History
YDS Set 002;067-Aborigines: The Native Australians (Aborijinler: Yerli Avustralyalılar);B1;"history; culture; anthropology";Food & Agriculture
YDS Set 002;068-Aktekke Mosque (Aktekke Camii);B1;"history; architecture; religion";History
YDS Set 002;069-All You Want to Learn about Corn (Mısır Hakkında Öğrenmek İstediğiniz Her Şey);B1;"agriculture; food; science";Food & Agriculture
YDS Set 002;070-Ancient Artifacts and Ancient Air (Antik Eserler ve Antik Hava);B1;"archaeology; history; science";History
YDS Set 002;071-Animals (Hayvanlar);B1;"animals; nature; appreciation";Biology & Animals
YDS Set 002;072-Animals: Blessings of Nature (Hayvanlar: Doğanın Nimettleri);B1;"nature; animals; environment";Environment & Nature
YDS Set 002;073-Astrology: A System of Belief (Astroloji: Bir İnanç Sistemi);B1;"astrology; culture; belief systems";Astrology & Belief Systems
YDS Set 002;074-Attitudes towards Money (Paraya Karşı Tutumlar);B1;"psychology; money; saving";Psychology & Health
YDS Set 002;075-Base-Jumping (Base-Atlama);B1;"sports; extreme sports; base-jumping";Sports
YDS Set 002;076-Beating The Bullies (Zorbaları Yenmek);B1;"psychology; bullying; children";Youth & Children
YDS Set 002;077-Blue-Jeans (Kot Pantolon);B1;"fashion; history; business";History
YDS Set 002;078-Breast Cancer (Meme Kanseri);B1;"health; cancer";Health & Medicine
YDS Set 002;079-Cities in the Sea (Denizdeki Şehirler);B1;"future; population; environment";Environment & Nature
YDS Set 002;080-Climber Fights For Life On Mountain (Dağcı Dağda Hayatı İçin Savaşıyor);B1;"sports; mountaineering; survival";Sports
YDS Set 002;081-Comets (Kuyruklu Yıldızlar);B1;"astronomy; science; space";Astronomy & Space
YDS Set 002;082-Corn (Mısır);B1;"agriculture; food; history";Food & Agriculture
YDS Set 002;083-Culture Shock! (Kültür Şoku!);B1;"culture; cultural differences; culture shock";Culture & Society
YDS Set 002;084-Demand for beef speeds destruction of Amazon forest (Sığır eti talebi Amazon ormanının yıkımını hızlandırıyor);B1;"environment; amazon; deforestation";Environment & Nature
YDS Set 002;085-Diana, Princess of Wales: The People's Princess (Galler Prensesi Diana: Halkın Prensesi);B1;"biography; royalty; history";History
YDS Set 002;086-Disabled at Work Project Wins European Award (Engelliler Çalışıyor Projesi'ne Avrupa Ödülü);B1;"disability; employment; awards";Disability & Social Rights
YDS Set 002;087-Downhill All The Way - To Casualty (Tam Gaz Aşağı - Hastaneye Kadar);B1;"sports; cycling; mountain biking";Sports
YDS Set 002;088-Earthquake Prediction (Deprem Tahmini);B1;"science; earthquakes; prediction";Science & Technology
YDS Set 002;089-Future of Rail Transport (Demiryolu Taşımacılığının Geleceği);B1;"transport; UK; infrastructure";Travel & Geography
YDS Set 002;090-Gandhi Indian Restaurant (Gandhi Hint Restoranı);B1;"food; restaurant; business";Economics & Business
YDS Set 002;091-Giovanna Amati: One Fast Woman (Giovanna Amati: Hızlı Bir Kadın);B1;"sport; motor racing; biography";Sports
YDS Set 002;092-Growing Up (Büyümek);B1;"psychology; family; adolescence";Psychology & Health
YDS Set 002;093-Hair Loss: Causes and Prevalence (Saç Dökülmesi: Nedenleri ve Yaygınlığı);B1;"health; medicine; biology";Health & Medicine
YDS Set 002;094-Halley's Comet (Halley Kuyruklu Yıldızı);B1;"astronomy; space; science";Astronomy & Space
YDS Set 002;095-Harrods: A Different World (Harrods: Farklı Bir Dünya);B1;"shopping; business; retail";Economics & Business
YDS Set 002;096-High-Rise (Yüksek Binalar);B1;"urban life; architecture; society";Culture & Society
YDS Set 002;097-How New York Began (New York Nasil Basladi);B1;"history; usa; geography";History
YDS Set 002;098-Indigenous Australia (Yerli Avustralya);B1;"culture; history; Australia";Food & Agriculture
YDS Set 002;099-Inflation (Enflasyon);B1;"economics; inflation; economy";Economics & Business
YDS Set 002;100-Internet as News Source (İnternet Haber Kaynağı);B1;"internet; media; news";Media & Communication
YDS Set 002;101-Istanbul Prepares for the EU: Town-Twinning Programme (İstanbul AB'ye Hazırlanıyor: Şehir Eşleştirme Programı);B1;"eu; turkey; local government";Politics & Government
YDS Set 002;102-Japanese Culture (Japon Kültürü);B1;"culture; food; clothing";Food & Agriculture
YDS Set 002;103-Kings Of The Road (Yolun Kralları);B1;"sports; cycling; Tour de France";Sports
YDS Set 002;104-Koreans succeed in cloning human embryos (Koreliler insan embriyolarını klonlamayı başardı);B1;"cloning; science; medicine";Science & Technology
YDS Set 002;105-Kwanzaa (Kwanzaa);B1;"culture; festivals; traditions";Culture & Society
YDS Set 002;106-Land Use (Arazi Kullanımı);B1;"environment; geography; urban planning";Travel & Geography
YDS Set 002;107-Lanzarote (Lanzarote);B1;"geography; environment; tourism";Travel & Geography
YDS Set 002;108-Left-Handedness (Solaklık);B1;"biology; society; psychology";Biology & Animals
YDS Set 002;109-Liberia Health Sector (Liberya Sağlık Sektörü);B1;"health; post-war; Liberia";Psychology & Health
YDS Set 002;110-Life on Mars (Mars'ta Yaşam);B1;"astronomy; science; space";Astronomy & Space
YDS Set 002;111-Maisie's Amazing Menagerie (Maisie'nin İnanılmaz Hayvan Koleksiyonu);B1;"animals; pets; news";Biology & Animals
YDS Set 002;112-Making Your Workplace Safer (İşyerinizi Daha Güvenli Yapmak);B1;"work; safety; health";Work & Career Advice
YDS Set 002;113-Marketing (Pazarlama);B1;"business; marketing; advertising";Economics & Business
YDS Set 002;114-Modern Medicine (Modern Tıp);B1;"health; medicine; technology";Health & Medicine
YDS Set 002;115-Nelson Mandela: A Life of Freedom (Nelson Mandela: Özgürlük Dolu Bir Hayat);B1;"biography; history; politics";History
YDS Set 002;116-Niagara (Niagara);B1;"tourism; nature; usa";Environment & Nature
YDS Set 002;117-Pandas (Pandalar);B1;"animals; nature; biology";Biology & Animals
YDS Set 002;118-Parachuting (Paraşütle Atlama);B1;"sport; adventure; training";Sports
YDS Set 002;119-Paragliding (Yamaç Paraşütü);B1;"sports; extreme sports; paragliding";Sports
YDS Set 002;120-Pompeii (Pompei);B1;"history; volcano; disaster";History
YDS Set 002;121-Radiation Pills for Families (Aileler İçin Radyasyon Önleyici Haplar);B1;"health; nuclear; safety";Work & Career Advice
YDS Set 002;122-Ramadan Sharing (Ramazan Paylaşımı);B1;"religion; culture; brotherhood";Religion & Belief
YDS Set 002;123-Ramadan Spirit (Ramazan Ruhu);B1;"religion; culture; Turkey";Culture & Society
YDS Set 002;124-Role Model (Rol Model);B1;"biography; inspiration";History
YDS Set 002;125-Sharks (Köpekbaliklari);B1;"animals; ocean; biology";Biology & Animals
YDS Set 002;126-Spare a tear for Argentina (Arjantin için bir gözyaşı dökün);B1;"argentina; economy; crisis";Culture & Society
YDS Set 002;127-Speed Kills (Hız Öldürür);B1;"society; transport; safety";Transportation & Vehicles
YDS Set 002;128-Speed Limit (Hız Limiti);B1;"traffic; safety; law";Transportation & Vehicles
YDS Set 002;129-Staying Underwater (Sualtında Kalmak);B1;"history; invention; diving";History
YDS Set 002;130-Telescope Sites (Teleskop Yerleri);B1;"science; astronomy; space";Astronomy & Space
YDS Set 002;131-The Apple: A Journey from Central Asia to the World (Elma: Orta Asya'dan Dünyaya Bir Yolculuk);B1;"food; history; agriculture";Food & Agriculture
YDS Set 002;132-The Arctic Fox (Kutup Tilkisi);B1;"animals; nature; arctic";Biology & Animals
YDS Set 002;133-The Australian Aborigines (Avustralya Aborijinleri);B1;"history; culture; society";Culture & Society
YDS Set 002;134-The Common Cold (Soğuk Algınlığı);B1;"health; medicine; disease";Health & Medicine
YDS Set 002;135-The Concept of Martyrdom (Şehitlik Kavramı);B1;"religion; culture; ethics";Religion & Belief
YDS Set 002;136-The Egyptian Pyramids (Mısır Piramitleri);B1;"history; archaeology; culture";History
YDS Set 002;137-The Egyptian Pyramids: Tombs of the Pharaohs (Mısır Piramitleri: Firavunların Mezarları);B1;"history; ancient egypt; architecture";History
YDS Set 002;138-The Healing Power of Music (Müziğin İyileştirici Gücü);B1;"health; music; therapy";Psychology & Health
YDS Set 002;139-The High-flyer (Yüksekten Uçan);B1;"sports; extreme sports; BASE jumping";Sports
YDS Set 002;140-The Importance of Rainforests (Yağmur Ormanlarının Önemi);B1;"nature; environment; ecology";Environment & Nature
YDS Set 002;141-The Meaning and Practice of Qurbani (Kurban'ın Anlamı ve Uygulanışı);B1;"religion; islam; culture";Religion & Belief
YDS Set 002;142-The Milky Way (Samanyolu);B1;"astronomy; science; space";Astronomy & Space
YDS Set 002;143-The Mystery of Sleep (Uykunun Gizemi);B1;"biology; psychology; health";Psychology & Health
YDS Set 002;144-The Olympics (Olimpiyatlar);B1;"history; sports; Olympics";Sports
YDS Set 002;145-The Origins of the Moon (Ay'ın Kökenleri);B1;"astronomy; science; space";Astronomy & Space
YDS Set 002;146-The Rebirth of the Feminist Movement (Feminist Hareketin Yeniden Doğuşu);B1;"society; feminism; women";Women's Studies & Feminism
YDS Set 002;147-The Scorpion: A Creature of Hot Climates (Akrep: Sıcak İklimlerin Yaratığı);B1;"biology; animals; nature";Biology & Animals
YDS Set 002;148-The Timeless Air of Old Istanbul (Eski İstanbul'un Zamansız Havası);B1;"travel; culture; history";Food & Agriculture
YDS Set 002;149-The Yanomami of the Amazon (Amazon'un Yanomamileri);B1;"anthropology; nature; indigenous";Anthropology & Archaeology
YDS Set 002;150-Tolerance Culture (Hoşgörü Kültürü);B1;"culture; tolerance; Turkey";Culture & Society
YDS Set 002;151-Travel and Tourism (Seyahat ve Turizm);B1;"travel; tourism; economy";Travel & Geography
YDS Set 002;152-Travel Insurance (Seyahat Sigortası);B1;"travel; insurance; safety";Travel & Geography
YDS Set 002;153-Travellers' Tales (Gezginlerin Hikayeleri);B1;"travel; humour; stories";Travel & Geography
YDS Set 002;154-Turkey and Macedonia Sign Cooperation Protocol (Türkiye ve Makedonya'dan İşbirliği Protokolü);B1;"politics; international relations; turkey";Politics & Government
YDS Set 002;155-Understanding Computer Databases (Bilgisayar Veri Tabanlarını Anlamak);B1;"technology; computers; data";Science & Technology
YDS Set 002;156-Understanding Drought (Kuraklığı Anlamak);B1;"environment; weather; science";Environment & Nature
YDS Set 002;157-Venus (Venüs);B1;"astronomy; science; space";Astronomy & Space
YDS Set 002;158-Videos for Kids: Fun Yes - Facts Yes - Violence No (Çocuklar İçin Videolar: Eğlence Evet - Bilgi Evet - Şiddet Hayır);B1;"education; media; children";Education
YDS Set 002;159-What A Good Idea (Ne İyi Bir Fikir);B1;"technology; inventions; patents";Science & Technology
YDS Set 002;160-Where to Invest Your Money (Paranızı Nereye Yatırmalı);B1;"finance; investment; saving";Economics & Business
YDS Set 002;161-Women's Colleges (Kadın Kolejleri);B1;"education; women; history";Women's Studies & Feminism
YDS Set 002;162-Young Women in Extreme Sports (Ekstrem Sporlarda Genç Kadınlar);B1;"sports; extreme sports; gender";Sports
YDS Set 002;163-Your Helping Hand Can Turn Despair Into Hope (Yardım Eliniz Umutsuzluğu Umuda Dönüştürebilir);B1;"charity; poverty; development";Youth & Children
YDS Set 003;164-A Year of Ups and Downs: 2012 in Review (Acısıyla Tatlısıyla 2012 Yılı);B2;"current affairs; politics; economics";Politics & Government
YDS Set 003;165-Aamir Khan: A Bollywood Icon (Aamir Khan: Bir Bollywood İkonu);B2;"cinema; biography; india";Art, Music & Literature
YDS Set 003;166-Advertising (Reklamcılık);B2;"marketing; consumer";Economics & Business
YDS Set 003;167-Architectural Innovations and Sustainable Urban Development in the 21st Century (21. Yüzyılda Mimari Yenilikler ve Sürdürülebilir Kentsel Gelişim);B2;"architecture; urban planning; environment";Architecture & Urban Planning
YDS Set 003;168-Barasana Indians of the Vaupes (Vaupes'in Barasana Yerlileri);B2;"indigenous; anthropology; culture";Anthropology & Archaeology
YDS Set 003;169-Beyond Drugs (İlaçların Ötesinde);B2;"health; medicine; epilepsy";Health & Medicine
YDS Set 003;170-BGM: More Than It Seems (Arka Plan Müziği: Göründüğünden Daha Fazlası);B2;"music; psychology; consumer behavior";Art, Music & Literature
YDS Set 003;171-Biological Clocks (Biyolojik Saatler);B2;"biology; science";Science & Technology
YDS Set 003;172-Children and Learning (Çocuklar ve Öğrenme);B2;"education; children; learning";Education
YDS Set 003;173-Choosing a Career (Kariyer Seçimi);B2;"work; career; psychology";Economics & Business
YDS Set 003;174-Columbus's Voyage To America (Kolomb'un Amerika'ya Yolculuğu);B2;"history; Columbus; America";History
YDS Set 003;175-Comets (Kuyruklu Yıldızlar);B2;"astronomy; space; science";Astronomy & Space
YDS Set 003;176-Communication and Culture (İletişim ve Kültür);B2;"culture; communication; ethnocentrism";Linguistics & Communication
YDS Set 003;177-Computers (Bilgisayarlar);B2;"technology; computers; emotion recognition";Science & Technology
YDS Set 003;178-Cooperative Education (Kooperatif Eğitim);B2;"education; work; university";Education
YDS Set 003;179-Creative Process (Yaratıcılık Süreci);B2;"creativity; writing; art";Art, Music & Literature
YDS Set 003;180-Crimes (Suçlar);B2;"society; law; justice";Law & Crime
YDS Set 003;181-Data Encryptation (Veri Şifreleme);B2;"technology; security; computers";Science & Technology
YDS Set 003;182-DDT (DDT);B2;"environment; pollution; science";Environment & Nature
YDS Set 003;183-Deforestation and Erosion (Ormansızlaşma ve Erozyon);B2;"environment; ecology";Environment & Nature
YDS Set 003;184-Democracy: A Form of Governance (Demokrasi: Bir Yönetim Biçimi);B2;"politics; democracy; government";Politics & Government
YDS Set 003;185-Desert Plants (Çöl Bitkileri);B2;"biology; plants; nature";Biology & Animals
YDS Set 003;186-Development and Third World (Kalkınma ve Üçüncü Dünya);B2;"economics; development";Economics & Business
YDS Set 003;187-Disaster at Sea (Denizde Felaket);B2;"rescue; safety; UK";Defense & Security
YDS Set 003;188-Disasters in the Third World (Üçüncü Dünyada Felaketler);B2;"world issues; poverty; disaster";Environment & Nature
YDS Set 003;189-Distilling Oil (Petrol Damıtma);B2;"science; energy; industry";Energy & Resources
YDS Set 003;190-Distribution of Nutrients in Plants (Bitkilerde Besin Dağılımı);B2;"biology; science; plants";Biology & Animals
YDS Set 003;191-Double Glazing (Çift Cam);B2;"home; energy; DIY";Energy & Resources
YDS Set 003;192-Downtown Fire Survivor (Şehir Merkezi Yangınından Kurtulan);B2;"news; disaster; human interest";Media & Communication
YDS Set 003;193-Dreams (Rüyalar);B2;"psychology; sleep; dreams";Psychology & Health
YDS Set 003;194-Dry Food (Kuru Gıda);B2;"food; science; preservation";Science & Technology
YDS Set 003;195-Dynamite (Dinamit);B2;"science; history; technology";Science & Technology
YDS Set 003;196-Earthquake Prediction (Deprem Tahmini);B2;"science; geology; earthquakes";Environment & Nature
YDS Set 003;197-Earthquakes (Depremler);B2;"science; geology; natural disaster";Environment & Nature
YDS Set 003;198-E-books E-merge (E-kitaplar Ortaya Çıkıyor);B2;"technology; e-books; publishing";Science & Technology
YDS Set 003;199-Ecosystems (Ekosistemler);B2;"ecology; environment; science";Environment & Nature
YDS Set 003;200-Educational Standards (Eğitim Standartları);B2;"education; society; parenting";Education
YDS Set 003;201-Electric Shocks (Elektrik Çarpmaları);B2;"safety; electricity; science";Science & Technology
YDS Set 003;202-Elements (Elementler);B2;"science; chemistry; atoms";Science & Technology
YDS Set 003;203-Endangered Species (Nesli Tükenmekte Olan Türler);B2;"animals; nature; environment";Environment & Nature
YDS Set 003;204-Energy (Enerji);B2;"energy; environment; technology";Environment & Nature
YDS Set 003;205-Enough! (Yeter!);B2;"economics; consumerism; simplicity";Economics & Business
YDS Set 003;206-Environment & Society (Çevre ve Toplum);B2;"environment; society; sustainability";Environment & Nature
YDS Set 003;207-EU Health Costs (AB Sağlık Masrafları);B2;"health; economics; EU";Psychology & Health
YDS Set 003;208-EU in Latin America (AB Latin Amerika'da);B2;"EU; democracy; Latin America";Politics & Government
YDS Set 003;209-EU Pressure on Greece (AB'nin Yunanistan'a Baskısı);B2;"EU; economics; Greece";Economics & Business
YDS Set 003;210-Europe's Leadership and Turkey's Future (Avrupa'nın Liderliği ve Türkiye'nin Geleceği);B2;"politics; eu; turkey";Politics & Government
YDS Set 003;211-Expressing Feelings (Duyguları İfade Etmek);B2;"emotions; psychology";Psychology & Health
YDS Set 003;212-Fall of the Mediterranean (Akdeniz'in Çöküşü);B2;"environment; pollution; sea";Environment & Nature
YDS Set 003;213-Fashion: The Art Of The Body (Moda: Vücudun Sanatı);B2;"culture; fashion; body decoration";Fashion & Clothing
YDS Set 003;214-Felt Image (Hissedilen İmge);B2;"psychology; body; perception";Psychology & Health
YDS Set 003;215-Food (Gıda);B2;"agriculture; environment; technology";Environment & Nature
YDS Set 003;216-Food Aid (Gıda Yardımı);B2;"world issues; poverty; food";Food & Agriculture
YDS Set 003;217-Food for the Starving (Açlar İçin Yiyecek);B2;"food; poverty; world issues";Food & Agriculture
YDS Set 003;218-Fossil Fuels (Fosil Yakıtlar);B2;"energy; environment; natural resources";Environment & Nature
YDS Set 003;219-Fresh Water (Tatlı Su);B2;"environment; water; science";Environment & Nature
YDS Set 003;220-Galdikas and Orangutans (Galdikas ve Orangutanlar);B2;"animals; environment; science";Environment & Nature
YDS Set 003;221-Genetic Factors in Obesity (Obezitede Genetik Faktörler);B2;"health; science; genetics";Science & Technology
YDS Set 003;222-Genetic Geography (Genetik Coğrafya);B2;"science; genetics; human genome";Science & Technology
YDS Set 003;223-Gentle Giants of the Earth (Yerlerin nazik devleri);B2;"animals; nature; africa";Biology & Animals
YDS Set 003;224-Ghosts (Hayaletler);B2;"paranormal; story; mystery";Paranormal & Mystery
YDS Set 003;225-Global Warming (Küresel Isınma);B2;"environment; science; weather";Environment & Nature
YDS Set 003;226-Global Warming (Küresel Isınma);B2;"environment; climate change; science";Environment & Nature
YDS Set 003;227-Gregory Mendel (Gregor Mendel);B2;"science; biology; genetics";Science & Technology
YDS Set 003;228-Happiness is a Choice (Mutluluk Bir Seçimdir);B2;"happiness; life; psychology";Psychology & Health
YDS Set 003;229-Healthy Eating for Diabetics (Diyabetikler İçin Sağlıklı Beslenme);B2;"health; disease; diet";Health & Medicine
YDS Set 003;230-Heat-waves (Isı Dalgaları);B2;"science; botany; climate";Environment & Nature
YDS Set 003;231-Henry Ford (Henry Ford);B2;"biography; Henry Ford; automobile";History
YDS Set 003;232-History of Astronomy (Astronomi Tarihi);B2;"astronomy; science; history";Astronomy & Space
YDS Set 003;233-History of Farming (Tarım Tarihi);B2;"history; agriculture; society";Food & Agriculture
YDS Set 003;234-History of Space Travel (Uzay Seyahati Tarihi);B2;"space; science; history";Astronomy & Space
YDS Set 003;235-Hospital Conditions (Hastane Koşulları);B2;"health; social issues";Psychology & Health
YDS Set 003;236-How Crucial Is Dreaming? (Rüya Görmek Ne Kadar Önemli?);B2;"psychology; sleep; dreams";Psychology & Health
YDS Set 003;237-How Memory Works (Hafıza Nasıl Çalışır);B2;"psychology; brain; science";Psychology & Health
YDS Set 003;238-How to be a Happier Mother (Daha Mutlu Bir Anne Nasıl Olunur);B2;"parenting; psychology; health";Psychology & Health
YDS Set 003;239-How to Use the Reader's Guide (Okuyucu Rehberi Nasıl Kullanılır);B2;"education; research; library";Education
YDS Set 003;240-How Well Can Horses Hear? (Atlar Ne Kadar İyi Duyar?);B2;"animals; horses; hearing";Biology & Animals
YDS Set 003;241-Human Infants (İnsan Yavruları);B2;"psychology; child development; parenting";Psychology & Health
YDS Set 003;242-Hydroponics (Hidroponik);B2;"science; agriculture; technology";Science & Technology
YDS Set 003;243-Illegal Tapes (Yasadışı Kasetler);B2;"music; crime; business";Art, Music & Literature
YDS Set 003;244-Inflation (Enflasyon);B2;"economics; finance; business";Economics & Business
YDS Set 003;245-Intelligence (Zeka);B2;"psychology; intelligence; mind";Psychology & Health
YDS Set 003;246-IQ or EQ? (IQ mu Yoksa EQ mu?);B2;"psychology; business; intelligence";Psychology & Health
YDS Set 003;247-J.Y. Cousteau (J.Y. Cousteau);B2;"biography; ocean; science";Science & Technology
YDS Set 003;248-Japanese Freedom (Japon Özgürlüğü);B2;"history; Japan; politics";Politics & Government
YDS Set 003;249-Jesse Owens (Jesse Owens);B2;"biography; Jesse Owens; Olympics";History
YDS Set 003;250-Join Greenpeace Today! (Bugün Greenpeace'e Katılın!);B2;"environment; activism; conservation";Environment & Nature
YDS Set 003;251-Junk Food & No Exercise - The New Lifestyle (Abur Cubur ve Egzersizsizlik - Yeni Yaşam Tarzı);B2;"health; modern life; diet";Health & Medicine
YDS Set 003;252-Just As Good As the Original? (Orijinali Kadar İyi mi?);B2;"art; forgery; crime";Art, Music & Literature
YDS Set 003;253-Keys to Quicker Learning (Daha Hızlı Öğrenmenin Anahtarları);B2;"education; learning; psychology";Education
YDS Set 003;254-King Arthur (Kral Arthur);B2;"history; legend; King Arthur";Paranormal & Mystery
YDS Set 003;255-Language Learning (Dil Öğrenimi);B2;"education; language; learning";Education
