passage_title;idx;sentence_en;sentence_tr
011-The Garston Family (Garston Ailesi);2;Mr. Garston buys special dog food in London because the local village shops do not sell it.;Bay Garston, yerel köy dükkanları satmadığı için özel köpek mamasını Londra'dan alır.
011-The Garston Family (Garston Ailesi);3;The neighbours dislike the dogs, but the dogs are happy when Mr. Garston comes home for a walk.;Komşular köpeklerden hoşlanmaz, ancak köpekler Bay Garston yürüyüş için eve geldiğinde mutlu olur.
012-The Old England Restaurant (Eski İngiltere Restoranı);1;The Old England Restaurant is located in Nailsca near Bristol and offers international cuisine to its guests.;Eski İngiltere Restoranı, Bristol yakınlarındaki Nailsca'da yer almakta ve konuklarına uluslararası mutfak sunmaktadır.
012-The Old England Restaurant (Eski İngiltere Restoranı);2;Diners can enjoy delicious steaks and spaghetti in the lovely garden or inside the clean establishment.;Yemek yiyenler, güzel bahçede veya temiz işletme içinde lezzetli biftek ve spagettinin tadını çıkarabilirler.
012-The Old England Restaurant (Eski İngiltere Restoranı);3;The venue also features a nightclub with music and dancing, making it perfect for special occasions.;Mekan ayrıca müzik ve danslı bir gece kulübüne sahiptir, bu da onu özel günler için mükemmel kılar.
013-The Statue of Liberty (Özgürlük Heykeli);1;The Statue of Liberty was a gift from the French people to the Americans and stands on Liberty Island.;Özgürlük Heykeli, Fransızların Amerikalılara bir hediyesiydi ve Özgürlük Adası'nda durmaktadır.
013-The Statue of Liberty (Özgürlük Heykeli);2;Tourists can reach the statue by taking a ferry from Battery Park for a small fee.;Turistler, küçük bir ücret karşılığında Battery Park'tan feribotla heykele ulaşabilirler.
013-The Statue of Liberty (Özgürlük Heykeli);3;The site is open every day of the week, but visitors must check the schedule for return times.;Alan haftanın her günü açıktır, ancak ziyaretçiler dönüş saatlerini kontrol etmelidir.
014-University of London (Londra Üniversitesi);1;The University of London was founded in 1836 and is located in the Bloomsbury area of the city.;Londra Üniversitesi 1836'da kurulmuş olup şehrin Bloomsbury bölgesinde yer almaktadır.
014-University of London (Londra Üniversitesi);2;It stands near the famous British Museum and other historic buildings found in the neighbourhood.;Ünlü İngiliz Müzesi'nin ve mahallede bulunan diğer tarihi binaların yakınında durmaktadır.
014-University of London (Londra Üniversitesi);3;Students can find various places to eat, including expensive restaurants and affordable coffee shops nearby.;Öğrenciler yakınlarda pahalı restoranlar ve uygun fiyatlı kahve dükkanları dahil çeşitli yeme-içme yerleri bulabilirler.
015-Young Love (Genç Aşk);1;The band called Young Love consists of three members who work regular jobs during the week.;Genç Aşk adlı grup, hafta içi normal işlerde çalışan üç üyeden oluşmaktadır.
015-Young Love (Genç Aşk);2;They travel to London on weekends to perform music at pubs and discos in the evening.;Hafta sonları Londra'ya gidip akşamları publarda ve diskolerde müzik yaparlar.
015-Young Love (Genç Aşk);3;One member, Sarah, says it is difficult to balance her office job with her singing career.;Üyelerden Sarah, ofis işini şarkıcılık kariyeriyle dengelemenin zor olduğunu söylüyor.
016-A Meeting (Bir Toplantı);1;Dr. Keller meets Mr. Hakada, a director from the United Nations University, at a party.;Dr. Keller, bir partide Birleşmiş Milletler Üniversitesi'nden bir yönetmen olan Bay Hakada ile tanışır.
016-A Meeting (Bir Toplantı);2;They discuss their work and Dr. Keller mentions she cannot attend a conference in Toronto.;İşlerini tartışırlar ve Dr. Keller Toronto'daki bir konferansa katılamayacağını belirtir.
016-A Meeting (Bir Toplantı);3;Mr. Hakada invites her to visit the university offices when she travels to Tokyo next time.;Bay Hakada, bir dahaki sefere Tokyo'ya gittiğinde üniversite ofislerini ziyaret etmesi için onu davet eder.
017-Afghanistan’s deadly crop flourishes again (Afganistan'ın ölümcül ürünü yeniden gelişiyor);1;Poor farmers in Afghanistan are growing opium poppies again to earn a living.;Yoksul Afgan çiftçileri geçimlerini sağlamak için tekrar haşhaş yetiştirmeye başladı.
017-Afghanistan’s deadly crop flourishes again (Afganistan'ın ölümcül ürünü yeniden gelişiyor);2;The village of Singesar is famous because the Taliban leader once lived there.;Singesar köyü, Taliban liderinin bir zamanlar orada yaşadığı için ünlüdür.
017-Afghanistan’s deadly crop flourishes again (Afganistan'ın ölümcül ürünü yeniden gelişiyor);3;Mullah Omar had banned opium production two years ago to stop heroin trade.;Mullah Ömer, eroin ticaretini durdurmak için iki yıl önce afyon üretimini yasaklamıştı.
017-Afghanistan’s deadly crop flourishes again (Afganistan'ın ölümcül ürünü yeniden gelişiyor);4;Since the Taliban rule ended, farmers have started planting the seeds again.;Taliban yönetimi sona erdiğinden beri, çiftçiler tohum ekmeye tekrar başladılar.
017-Afghanistan’s deadly crop flourishes again (Afganistan'ın ölümcül ürünü yeniden gelişiyor);5;One farmer says he can make much more money from opium than grapes.;Bir çiftçi, üzümden çok daha fazla para kazandığını söylemektedir.
017-Afghanistan’s deadly crop flourishes again (Afganistan'ın ölümcül ürünü yeniden gelişiyor);6;The harvest season between May and July is a happy time for the villagers.;Mayıs ve Temmuz arasındaki hasat mevsimi köylüler için mutlu bir zamandır.
017-Afghanistan’s deadly crop flourishes again (Afganistan'ın ölümcül ürünü yeniden gelişiyor);7;Hamid Karzai, the new leader, wants to stop all poppy production in the country.;Yeni lider Hamid Karzai, ülkedeki tüm haşhaş üretimini durdurmak istemektedir.
017-Afghanistan’s deadly crop flourishes again (Afganistan'ın ölümcül ürünü yeniden gelişiyor);8;However, his government does not have enough money or control over the country.;Ancak hükümetinin yeterli parası veya ülke üzerindeki kontrolü bulunmamaktadır.
017-Afghanistan’s deadly crop flourishes again (Afganistan'ın ölümcül ürünü yeniden gelişiyor);9;United Nations officials expect an enormous crop of opium to be produced this year.;Birleşmiş Milletler yetkilileri, bu yıl büyük miktarda afyon üretilmesini beklemektedir.
017-Afghanistan’s deadly crop flourishes again (Afganistan'ın ölümcül ürünü yeniden gelişiyor);10;The price of opium has dropped slightly compared to last year's high price.;Afyonun fiyatı, geçen yılki yüksek fiyata kıyasla biraz düşmüştür.
017-Afghanistan’s deadly crop flourishes again (Afganistan'ın ölümcül ürünü yeniden gelişiyor);11;Most buyers are rich businessmen from Iran and Pakistan who sell the drug abroad.;Çoğu alıcı, uyuşturucuyu yurtdışında satan İran ve Pakistanlı zengin iş adamlarıdır.
017-Afghanistan’s deadly crop flourishes again (Afganistan'ın ölümcül ürünü yeniden gelişiyor);12;Opium grows easily in the dry climate and needs very little water to survive.;Afyon kuru iklimde kolayca yetişir ve hayatta kalmak için çok az suya ihtiyaç duyar.
018-Airline Security (Havayolu Güvenliği);1;A secret serviceman was waiting to board a flight from Baltimore to Dallas.;Bir gizli servis ajanı, Baltimore'dan Dallas'a uçağa binmek için bekliyordu.
018-Airline Security (Havayolu Güvenliği);2;He was carrying a gun and needed to fill in a special form for permission.;Yanında silah taşıyordu ve izin için özel bir form doldurması gerekiyordu.
018-Airline Security (Havayolu Güvenliği);3;The man made mistakes on the form and became very angry with the airline staff.;Adam formda hatalar yaptı ve havayolu personeline karşı çok öfkelendi.
018-Airline Security (Havayolu Güvenliği);4;The staff searched his bag and found a book on Arab history inside it.;Personel çantasını aradı ve içinde Arap tarihi hakkında bir kitap buldu.
018-Airline Security (Havayolu Güvenliği);5;The passenger had an Arabic name and his parents were from the Middle East.;Yolcunun Arapça bir ismi vardı ve ebeveynleri Orta Doğu kökenliydi.
018-Airline Security (Havayolu Güvenliği);6;The airline decided not to let him board the plane due to his aggressive behavior.;Havayolu şirketi, saldırgan davranışları nedeniyle uçağa binmesine izin vermemeye karar verdi.
018-Airline Security (Havayolu Güvenliği);7;Some people believe he was stopped because of his Middle Eastern appearance.;Bazı insanlar, Orta Doğulu görünümü nedeniyle durdurulduğuna inanmaktadır.
018-Airline Security (Havayolu Güvenliği);8;Others argue that airport security checks based on appearance are racist and unfair.;Diğerleri, görünüşe dayalı havalimanı güvenlik kontrollerinin ırkçı ve haksız olduğunu savunmaktadır.
018-Airline Security (Havayolu Güvenliği);9;The airline claimed he was refused because he was angry and broke the rules.;Havayolu, kuralları bozduğu ve öfkeli olduğu için reddedildiğini iddia etti.
018-Airline Security (Havayolu Güvenliği);10;This incident caused a big discussion about civil rights and security in America.;Bu olay, Amerika'da sivil haklar ve güvenlik hakkında büyük bir tartışma yarattı.
018-Airline Security (Havayolu Güvenliği);11;Airlines are now checking passenger lists more carefully for Islamic names and backgrounds.;Havayolları artık İslami isimler ve geçmişler için yolcu listelerini daha dikkatli kontrol ediyor.
018-Airline Security (Havayolu Güvenliği);12;It remains a difficult question balancing security needs with passenger civil rights.;Güvenlik ihtiyaçları ile yolcu sivil hakları arasında denge kurmak zor bir soru olmaya devam etmektedir.
019-Alfred Hitchcock (Alfred Hitchcock);1;Alfred Hitchcock was a famous film director who was born in London in 1899.;Alfred Hitchcock 1899'da Londra'da doğan ünlü bir film yönetmeniydi.
019-Alfred Hitchcock (Alfred Hitchcock);2;He moved to Hollywood and made many successful films including Psycho and The Birds.;Hollywood'a taşındı ve Psycho ve Kuşlar dahil birçok başarılı film yaptı.
019-Alfred Hitchcock (Alfred Hitchcock);3;Queen Elizabeth made him a Sir in 1980, and he died in Los Angeles shortly after.;"Kraliçe Elizabeth 1980'de ona ""Sir"" unvanı verdi ve o kısa bir süre sonra Los Angeles'ta öldü."
020-Cats (Kediler);1;Cats have been domesticated for thousands of years and are one of the most popular pets worldwide.;Kediler binlerce yıldır evcilleştirilmişlerdir ve dünya genelinde en popüler ev hayvanlarından biridir.
020-Cats (Kediler);2;Cats are natural hunters and are excellent at catching mice and other small pests in and around homes.;Kediler doğal avcılardır ve evlerin içinde ve çevresinde fareler ve diğer küçük zararlıları yakalamakta mükemmel dirler.
020-Cats (Kediler);3;Cats are very clean animals that spend many hours grooming themselves to keep their fur clean and healthy.;Kediler, tüylerini temiz ve sağlıklı tutmak için kendilerini saatlerce temizleyen çok temiz hayvanlardır.
020-Cats (Kediler);4;Unlike dogs, cats are independent animals that enjoy spending time alone and do not need constant attention.;Köpeklerin aksine, kediler yalnız zaman geçirmeyi seven ve sürekli ilgiye ihtiyaç duymayan bağımsız hayvanlardır.
020-Cats (Kediler);5;Cats communicate through various sounds including meowing, purring, hissing, and growling to express their emotions.;Kediler, duygularını ifade etmek için miyavlama, hırıldama, tıslamama ve homurdanma gibi çeşitli sesler aracılığıyla iletişim kurarlar.
020-Cats (Kediler);6;Ancient Egyptians revered cats as sacred animals and often depicted them in their art and mythology.;Antik Mısırlılar kedileri kutsal hayvanlar olarak saygı gösterirler ve sanatlarında ve mitolojilerinde sıklıkla tasvir ederler.
020-Cats (Kediler);7;Cats have excellent night vision that allows them to see clearly even in very low light conditions.;Kediler, çok düşük ışık koşullarında bile net görmelerini sağlayan mükemmel gece görüşüne sahiptirler.
020-Cats (Kediler);8;The saying that cats have nine lives is just a myth, as cats can definitely die from falls from high places.;Kedilerin dokuz canı olduğu söylentisi sadece bir efsanedir, çünkü kediler kesinlikle yüksek yerlerden düşerek ölebilirler.
021-Charlie Chaplin (Charlie Chaplin);1;Charlie Chaplin was born in London and became a famous actor in the United States.;Charlie Chaplin Londra'da doğdu ve Amerika Birleşik Devletleri'nde ünlü bir aktör oldu.
021-Charlie Chaplin (Charlie Chaplin);2;"He created the character of the ""little tramp"" which made him internationally famous.";"Onu uluslararası üne kavuşturan ""küçük serseri"" karakterini yarattı."
021-Charlie Chaplin (Charlie Chaplin);3;He left the USA in 1952 for political reasons and lived the rest of his life in Switzerland.;1952'de siyasi nedenlerle ABD'den ayrıldı ve hayatının geri kalanını İsviçre'de yaşadı.
022-Charlie Chaplin (Charlie Chaplin);1;Charlie Chaplin, a famous actor, was very important in the silent film period.;Ünlü bir aktör olan Charlie Chaplin sessiz film döneminde çok önemliydi.
022-Charlie Chaplin (Charlie Chaplin);2;He was a director, composer, actor, producer and a musician in the early Hollywood cinema period.;O, erken dönem Hollywood sinemasında bir yönetmen, besteci, oyuncu, yapımcı ve müzisyendi.
022-Charlie Chaplin (Charlie Chaplin);3;He acted, directed and produced a lot of silent films.;Birçok sessiz filmde rol aldı, yönetti ve yapımcılığını yaptı.
022-Charlie Chaplin (Charlie Chaplin);4;His favourite character was ''The Tramp'' was a gentleman, but he had no home, no job and moved from place to place.;Onun en sevilen karakteri ''Sokak Serserisi'' idi, kibar bir adamdı fakat hiç evi, işi yoktu ve bir yerden bir yere gezerdi.
023-Dreams (Rüyalar);1;Some experts say that people dream four or five times a night.;Bazı uzmanlar insanların bir gecede dört ya da beş defa rüya gördüklerini söylerler.
023-Dreams (Rüyalar);2;The first dream is usually ten minutes.;İlk rüya genellikle on dakikadır.
023-Dreams (Rüyalar);3;Each dream is a little longer than another.;Her rüya bir diğerinden biraz daha uzundur.
023-Dreams (Rüyalar);4;The last dream of the night is about one hour.;Gecenin son rüyası yaklaşık bir saattir.
023-Dreams (Rüyalar);5;Everybody needs dreams, younger children dream more.;Herkes rüyaya ihtiyaç duyar, daha genç çocuklar daha fazla rüya görürler.
023-Dreams (Rüyalar);6;Some people use sleeping pills because they have sleep problems.;Bazı insanlar uyku problemi yaşadığı için uyku hapları kullanırlar.
023-Dreams (Rüyalar);7;These people do not dream and after a few nights they feel bad.;Bu insanlar rüya görmezler ve birkaç geceden sonra kendilerini kötü hissederler.
024-Elvis Presley (Elvis Presley);1;Elvis Presley was born in 1935 in Mississippi and grew up in a poor but loving family.;Elvis Presley 1935'te Mississippi'de doğdu ve fakir ama sevgi dolu bir ailede büyüdü.
024-Elvis Presley (Elvis Presley);2;He worked different jobs before his singing talent was discovered by Sam Phillips.;Şarkı söyleme yeteneği Sam Phillips tarafından keşfedilmeden önce farklı işlerde çalıştı.
024-Elvis Presley (Elvis Presley);3;He became a rock and roll star with the help of his manager Tom Parker and won many awards.;Menajeri Tom Parker'ın yardımıyla bir rock and roll yıldızı oldu ve birçok ödül kazandı.
025-Emotions and Thoughts (Duygular ve Düşünceler);1;Emotions are strong feelings like love, fear or anger.;Sevgi, korku ve öfke gibi duygular güçlü hislerdir.
025-Emotions and Thoughts (Duygular ve Düşünceler);2;Thoughts are our ideas, opinions or plans.;Düşünceler bizim fikirlerimiz, görüşlerimiz veya planlarımızdır.
025-Emotions and Thoughts (Duygular ve Düşünceler);3;We show emotions but we say our thoughts.;Duygularımızı gösteririz fakat düşüncelerimizi söyleriz.
025-Emotions and Thoughts (Duygular ve Düşünceler);4;People show their emotions in different ways.;İnsanlar duygularını farklı şekillerde gösterirler.
025-Emotions and Thoughts (Duygular ve Düşünceler);5;They sometimes use words and they sometimes use gestures.;Bazen kelimeleri kullanırlar ve bazen jestlerini kullanırlar.
025-Emotions and Thoughts (Duygular ve Düşünceler);6;They move their arms, hands or heads.;Kollarını, ellerini ve başlarını hareket ettirirler.
025-Emotions and Thoughts (Duygular ve Düşünceler);7;Some gestures have the same meanings in all languages because gestures don't have a language.;Bazı jestler tüm dillerde aynı anlama gelir çünkü jestlerin bir dili yoktur.
025-Emotions and Thoughts (Duygular ve Düşünceler);8;If you smile, it usually means you are happy.;Eğer gülümsersen, bu genellikle mutlusun demektir.
025-Emotions and Thoughts (Duygular ve Düşünceler);9;Laughter and crying have universal meanings.;Gülme ve ağlamanın evrensel anlamları vardır.
026-FC Barcelona: More Than a Club (FC Barcelona: Bir Kulüpten Daha Fazlası);1;Football Club Barcelona, shortly FC Barcelona or Barça, is a football team in the Catalonia autonomous region of Spain, founded by a Swiss, British and Spanish group under the leadership of Joan Gamper in 1899.;Barcelona Futbol Kulübü, kısaca FC Barcelona ya da Barça, İspanya'nın Katalonya özerk bölgesindeki Barselona kentinde bulunan futbol takımıdır. 1899 yılında, Joan Gamper önderliğinde, İsviçreli, İngiliz ve İspanyol bir grup tarafından kurulmuştur.
026-FC Barcelona: More Than a Club (FC Barcelona: Bir Kulüpten Daha Fazlası);2;"The motto of the club representing the Catalonia region is ""Més que un club"" (more than a club).";"Katalan bölgesini temsil eden kulübün sloganı ""Més que un club"" (bir kulüpten daha fazlası)dır."
026-FC Barcelona: More Than a Club (FC Barcelona: Bir Kulüpten Daha Fazlası);3;"Barça's anthem is ""Cant del Barça"" which was composed by Josep Maria Espinàs.";"Barça'nın marşı ise Josep Maria Espinàs tarafından bestelenen ""Cant del Barça""dır."
027-Football: The World's Most Popular Sport (Futbol: Dünyanın En Popüler Sporu);1;Football is the most popular team sport which consists of two teams both having eleven players, played with two goals and a football ball.;Futbol, on birer oyuncudan oluşan iki takım, iki kale ve bir futbol topu ile oynanan dünyanın en popüler takım sporudur.
027-Football: The World's Most Popular Sport (Futbol: Dünyanın En Popüler Sporu);2;Particularly in Europe and South America countries, it is almost so much loved in all countries and is watched by a wide range of audiences.;Başta Avrupa ve Güney Amerika ülkeleri olmak üzere hemen hemen tüm ülkelerde çok sevilir ve geniş bir izleyici kitlesi tarafından izlenir.
028-Giovanna Amati: One Fast Woman (Giovanna Amati: Hızlı Bir Kadın);1;What makes a glamorous young woman want to risk life and limb on the dangerous race track, pushing herself and her machine to the absolute limit?;Göz alıcı genç bir kadını, kendisini ve makinesini mutlak sınıra zorlayarak tehlikeli yarış pistinde hayatını ve uzuvlarını riske atmaya iten şey nedir?
028-Giovanna Amati: One Fast Woman (Giovanna Amati: Hızlı Bir Kadın);2;"""Motor racing is a passion,"" says speed-loving Giovanna Amati, a 27-year-old Italian who is widely acknowledged to be one of the fastest women drivers in the world.";"""Motor yarışları bir tutku,"" diyor, dünyanın en hızlı kadın pilotlarından biri olarak kabul edilen, hız tutkunu 27 yaşındaki İtalyan Giovanna Amati."
028-Giovanna Amati: One Fast Woman (Giovanna Amati: Hızlı Bir Kadın);3;"""For me, it's so deep I can't live without it,"" she explains, her determination shining through every word as she talks about the sport that defines her life.";"""Benim için o kadar derin ki onsuz yaşayamam,"" diye açıklıyor, hayatını tanımlayan spor hakkında konuşurken kararlılığı her kelimesinde parlıyor."
028-Giovanna Amati: One Fast Woman (Giovanna Amati: Hızlı Bir Kadın);4;As a member, last year, of the British-based team GA Motorsports, she competed in the fiercely competitive Formula 3000 races in a car twice as powerful as a Jaguar XJS.;Geçen yıl, İngiltere merkezli GA Motorsports takımının bir üyesi olarak, bir Jaguar XJS'den iki kat daha güçlü bir arabayla kıyasıya rekabetin olduğu Formula 3000 yarışlarında yarıştı.
028-Giovanna Amati: One Fast Woman (Giovanna Amati: Hızlı Bir Kadın);5;She raced at incredible speeds of up to 180 mph in a class that has won a fearsome reputation for aggressive competitiveness, with many drivers taking dramatic risks to make their mark.;Pek çok sürücünün adını duyurmak için dramatik riskler aldığı, agresif rekabetçiliğiyle korkulan bir üne sahip bir sınıfta, saatte 180 mile varan inanılmaz hızlarda yarıştı.
028-Giovanna Amati: One Fast Woman (Giovanna Amati: Hızlı Bir Kadın);6;This year, however, she is without the substantial sponsorship money necessary to race in F3000, so she is competing as a guest driver at circuits around the world while looking for the right backing.;Ancak bu yıl, F3000'de yarışmak için gerekli olan önemli sponsorluk parasına sahip değil, bu nedenle doğru desteği ararken dünyanın dört bir yanındaki pistlerde misafir pilot olarak yarışıyor.
028-Giovanna Amati: One Fast Woman (Giovanna Amati: Hızlı Bir Kadın);7;"""I don't want to be just decoration at the track,"" she states firmly, her eyes flashing with ambition. ""I want to win.""";"""Pistte sadece bir dekorasyon olmak istemiyorum,"" diyor kesin bir dille, gözleri hırsla parlıyor. ""Kazanmak istiyorum."""
028-Giovanna Amati: One Fast Woman (Giovanna Amati: Hızlı Bir Kadın);8;"Determination shines through this beautiful woman's every move and every word; when she was 15, she used to ride a 350cc motorcycle around her native city of Rome, hiding it from her disapproving parents.";"Kararlılık, bu güzel kadının her hareketinde ve her sözünde parlıyor; 15 yaşındayken, memleketi Roma'da 350 cc'lik bir motosiklet sürer, bunu onaylamayan ailesinden gizlerdi."
028-Giovanna Amati: One Fast Woman (Giovanna Amati: Hızlı Bir Kadın);9;Despite strong opposition from her father, a wealthy Roman industrialist, Giovanna pursued her driving ambition relentlessly, joining a racing school where she won the graduates race in 1980.;Varlıklı bir Romalı sanayici olan babasının güçlü muhalefetine rağmen Giovanna, sürüş tutkusunu amansızca takip etti ve 1980'de mezunlar yarışını kazandığı bir yarış okuluna katıldı.
028-Giovanna Amati: One Fast Woman (Giovanna Amati: Hızlı Bir Kadın);10;From there she has worked her way up through the successive formulas, proving her talent and determination at every level of the sport.;Oradan, sporun her seviyesinde yeteneğini ve kararlılığını kanıtlayarak, ardışık formüller boyunca ilerledi.
028-Giovanna Amati: One Fast Woman (Giovanna Amati: Hızlı Bir Kadın);11;Motor racing is a sport still heavily dominated by men, and some men, particularly fellow Italians, find their ego dented when they're beaten by her on the track.;Motor yarışları hâlâ büyük ölçüde erkeklerin egemen olduğu bir spor ve özellikle İtalyan erkekler, pistte onun tarafından yenildiklerinde egolarının zedelendiğini hissediyorlar.
028-Giovanna Amati: One Fast Woman (Giovanna Amati: Hızlı Bir Kadın);12;She spends as much time working with the mechanics on the technical side of the car as she does on the track, because vital factors in achieving racing success are physical fitness and the right mental attitude.;Pistte geçirdiği kadar zamanı da arabanın teknik tarafı üzerinde mekanikerle çalışarak geçiriyor çünkü yarış başarısına ulaşmada hayati faktörler fiziksel uygunluk ve doğru zihinsel tutum.
029-Going to Britain (İngiltere'ye Gidiş);1;Visitors to Britain should know that one pound is equal to one hundred pence.;İngiltere ziyaretçileri bir poundun yüz peniye eşit olduğunu bilmelidir.
029-Going to Britain (İngiltere'ye Gidiş);2;Finding accommodation in Britain can be expensive, so youth hostels are a cheaper option.;İngiltere'de konaklama bulmak pahalı olabilir, bu yüzden öğrenci yurtları daha ucuz bir seçenektir.
029-Going to Britain (İngiltere'ye Gidiş);3;Trains are a good way to travel, but coaches are cheaper for long distances between cities.;Trenler seyahat için iyi bir yoldur, ancak şehirler arası uzun mesafeler için otobüsler daha ucuzdur.
030-Grandmother's Glasses (Anneannenin Gözlüğü);1;I was stil ten years old and I was in the village.;Henüz 10 yaşındaydım ve köydeydim.
